,pixel252,pixel253,pixel254,pixel255,pixel256,pixel257,pixel258,pixel259,pixel260,pixel261,pixel262,pixel263,pixel264,pixel265,pixel266,pixel267,pixel268,pixel269,pixel270,pixel271,pixel272,pixel273,pixel274,pixel275,pixel276,pixel277,pixel278,pixel279
252,0,0,0,0,0,0,0,0,0,0,0,0,79,253,253,194,0,0,0,0,0,0,0,0,0,0,0,0
253,0,0,0,0,0,0,0,0,0,0,0,0,13,194,252,151,0,0,0,0,0,0,0,0,0,0,0,0
254,0,0,0,0,0,0,0,0,0,0,32,229,253,239,113,25,51,129,166,253,253,239,38,0,0,0,0,0
255,0,0,0,0,0,0,0,213,252,253,252,253,252,253,252,0,0,0,123,253,252,233,50,0,0,0,0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,57,255,255,141,0,0,0,0,0,0,0,0,0,0,0,0
257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,253,253,93,0,0,0,0,0,0,0,0,0
258,0,0,0,0,0,0,0,0,0,108,254,254,95,0,0,0,40,251,254,89,0,0,0,0,0,0,0,0
259,0,0,0,0,0,0,0,0,0,80,243,253,253,253,175,25,4,0,0,0,0,0,0,0,0,0,0,0
260,0,0,0,0,0,0,103,253,253,192,13,0,0,0,0,0,0,0,0,3,24,24,16,0,0,0,0,0
261,0,0,0,0,0,0,0,0,0,11,0,0,17,24,13,0,36,170,253,253,221,0,0,0,0,0,0,0
262,0,0,0,0,0,0,0,0,0,107,251,164,91,36,0,0,0,0,66,216,253,224,44,0,0,0,0,0
263,0,0,0,0,0,0,0,0,0,0,173,253,253,253,236,87,59,0,0,0,0,0,0,0,0,0,0,0
264,0,0,0,0,50,169,168,197,253,254,253,253,253,254,253,253,253,114,0,0,0,0,0,0,0,0,0,0
265,0,0,0,0,0,0,0,0,0,14,186,254,254,96,83,222,235,142,195,255,254,78,0,0,0,0,0,0
266,0,0,0,0,0,0,0,0,54,254,254,254,254,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,0,0,0,0,0,0,0,0,87,253,206,0,0,0,0,0,0,0,0,0,0,0,6,192,130,0,0,0
268,0,0,0,0,0,0,0,0,0,0,0,0,29,255,226,0,0,0,0,0,0,0,0,0,0,0,0,0
269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,208,208,17,0,0,0,0,0,0,0,0,0
270,0,0,0,0,0,0,0,0,0,0,0,6,149,253,243,28,0,0,0,0,0,0,0,0,0,0,0,0
271,0,0,0,0,0,0,0,0,0,0,5,160,253,253,225,35,0,0,0,228,253,139,0,0,0,0,0,0
272,0,0,0,0,0,0,0,0,0,0,0,0,201,253,253,198,15,0,0,0,0,0,0,0,0,0,0,0
273,0,0,0,0,0,0,0,0,50,112,112,99,0,0,0,0,29,252,253,252,195,0,0,0,0,0,0,0
274,0,0,0,0,0,0,0,0,0,0,0,197,254,122,7,0,0,75,254,215,0,0,0,0,0,0,0,0
275,0,0,0,0,0,0,0,156,254,254,254,219,81,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,254,253,154,0,0,0,0,0,0,0,0,0,0
277,0,0,0,0,0,0,0,0,0,27,216,253,214,162,163,63,0,0,0,0,0,0,0,0,0,0,0,0
278,0,0,0,0,0,0,0,0,0,0,62,253,253,158,0,0,0,0,21,163,253,253,253,149,0,0,0,0
279,0,0,0,0,0,0,0,0,0,0,66,245,253,253,0,0,157,253,253,180,0,0,0,0,0,0,0,0
